City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
164,Coihaique,CL,2022-07-18 21:31:16,-45.5752,-72.0662,278.12,70,75,2.06
165,Cayenne,GF,2022-07-18 21:31:17,4.9333,-52.3333,300.98,1,59,0.51
166,Carnarvon,AU,2022-07-18 21:31:21,-24.8667,113.6333,289.29,67,0,6.36
167,Xam Nua,LA,2022-07-18 21:31:22,20.4197,104.0439,294.26,95,100,1.25
168,Kargasok,RU,2022-07-18 21:31:24,59.0556,80.8572,285.68,81,74,4.14
169,Karpogory,RU,2022-07-18 21:31:25,64.0019,44.4451,288.83,77,100,1.99
170,Tanout,NE,2022-07-18 21:31:26,14.9709,8.8879,304.25,44,73,4.36
171,Krasnoselkup,RU,2022-07-18 21:31:27,65.7,82.4667,282.65,88,59,4.29
172,Sibolga,ID,2022-07-18 21:31:28,1.7427,98.7792,298.18,83,98,1.14
173,Mount Isa,AU,2022-07-18 21:27:51,-20.7333,139.5,284.02,54,0,0.51
174,Hofn,IS,2022-07-18 21:31:30,64.2539,-15.2082,283.64,83,77,4.14
175,Likhoslavl,RU,2022-07-18 21:31:31,57.1275,35.464,281.81,91,4,2.67
176,Chuy,UY,2022-07-18 21:31:32,-33.6971,-53.4616,282.17,82,2,1.06
177,Thompson,CA,2022-07-18 21:27:59,55.7435,-97.8558,296.24,56,40,2.06
178,Caborca,MX,2022-07-18 21:31:33,30.5838,-111.101,309.04,36,3,6.01
179,Ostrovnoy,RU,2022-07-18 21:29:54,68.0531,39.5131,285.42,89,8,4.21
180,Cabo San Lucas,MX,2022-07-18 21:31:35,22.8909,-109.9124,306.21,61,20,4.63
181,Lhokseumawe,ID,2022-07-18 21:32:36,5.1801,97.1507,299.76,85,97,4.3
182,Tabory,RU,2022-07-18 21:32:37,58.5198,64.5495,291.13,69,94,1.29
183,Mayo,US,2022-07-18 21:32:40,38.8876,-76.5119,306.7,77,40,7.2
184,Yellowknife,CA,2022-07-18 21:31:49,62.456,-114.3525,295.44,56,40,4.12
185,Raymond,US,2022-07-18 21:32:42,43.9015,-70.4703,296.61,87,100,2.27
186,Krasnoshchekovo,RU,2022-07-18 21:32:43,51.6708,82.7289,284.13,82,27,2.41
187,Yashan,CN,2022-07-18 21:32:44,22.1975,109.9419,299.31,97,94,1.45
188,Juneau,US,2022-07-18 21:31:26,58.3019,-134.4197,287.51,88,100,2.57
189,Shelby,US,2022-07-18 21:27:52,35.2001,-89.8668,306.01,67,75,3.6
190,Mariental,NA,2022-07-18 21:32:47,-24.6333,17.9667,286.33,30,0,5.17
191,San Patricio,US,2022-07-18 21:30:08,28.017,-97.5169,309.92,47,57,7.44
192,Panjab,AF,2022-07-18 21:32:49,34.388,67.0233,288.65,28,0,2.45
193,Beloha,MG,2022-07-18 21:32:50,-25.1667,45.05,290.43,82,0,4.59
194,Lasa,IT,2022-07-18 21:32:51,46.6166,10.7002,297.64,80,86,0.33
195,Porto Walter,BR,2022-07-18 21:32:52,-8.2686,-72.7439,298.44,90,60,1.29
196,Kedrovyy,RU,2022-07-18 21:32:53,56.1667,91.8167,284.38,99,100,4.82
197,Logrono,ES,2022-07-18 21:31:11,42.4667,-2.45,305.87,27,0,5.14
198,Mount Gambier,AU,2022-07-18 21:31:32,-37.8333,140.7667,275.1,100,40,0.0
199,Eydhafushi,MV,2022-07-18 21:32:54,5.1033,73.0708,301.06,74,100,7.8
200,Xining,CN,2022-07-18 21:32:55,36.6167,101.7667,282.51,90,41,1.82
201,Amga,RU,2022-07-18 21:32:56,60.8953,131.9608,293.69,63,100,3.13
202,Orvault,FR,2022-07-18 21:32:57,47.271,-1.6219,307.09,29,0,4.63
203,Monrovia,LR,2022-07-18 21:32:58,6.3005,-10.7969,297.81,78,95,6.78
204,Galveston,US,2022-07-18 21:31:38,29.3669,-94.9669,310.98,62,0,6.17
205,Donghai,CN,2022-07-18 21:33:01,22.9459,115.642,300.55,90,100,2.07
206,Liverpool,GB,2022-07-18 21:31:59,53.4106,-2.9779,302.2,46,0,2.57
207,Thinadhoo,MV,2022-07-18 21:33:02,0.5333,72.9333,301.43,72,99,5.72
208,Mahebourg,MU,2022-07-18 21:28:08,-20.4081,57.7,293.85,88,40,7.72
209,Novoseleznevo,RU,2022-07-18 21:33:04,55.6821,69.2056,286.81,81,26,2.74
210,Takaka,NZ,2022-07-18 21:33:05,-40.85,172.8,287.9,93,100,6.13
211,Lac-Megantic,CA,2022-07-18 21:30:09,45.5834,-70.8823,291.37,99,100,1.68
212,Bandarbeyla,SO,2022-07-18 21:33:06,9.4942,50.8122,297.46,79,78,15.72
213,Codrington,AU,2022-07-18 21:33:07,-38.2667,141.9667,281.26,72,100,2.17
214,Caravelas,BR,2022-07-18 21:33:08,-17.7125,-39.2481,294.74,75,38,2.18
215,Guia Lopes Da Laguna,BR,2022-07-18 21:33:09,-21.4578,-56.1142,298.03,46,89,1.15
216,Port Lavaca,US,2022-07-18 21:33:09,28.615,-96.6261,309.35,57,0,6.17
217,Pihani,IN,2022-07-18 21:33:10,27.6333,80.2,305.04,54,72,3.81
218,Verkhnevilyuysk,RU,2022-07-18 21:33:11,63.4453,120.3167,290.57,88,100,2.13
219,Saint-Joseph,RE,2022-07-18 21:33:12,-21.3667,55.6167,292.36,80,34,8.12
